month,zipcode,avg_hours
2024-05,10457,245.46
2024-05,10458,331.0
2024-05,10459,346.61
2024-05,10460,272.89
2024-05,10461,137.18
2024-05,10462,192.68
2024-05,10463,211.89
2024-05,10464,138.12
2024-05,10465,97.68
2024-05,10466,205.51
2024-05,10467,229.86
2024-05,10468,244.84
2024-05,10469,164.9
2024-05,10470,125.42
2024-05,10471,127.84
2024-05,10472,279.14
2024-05,10473,189.34
2024-05,10474,247.96
2024-05,10475,206.32
2024-05,10601,851.31
2024-05,10701,733.28
2024-05,10705,815.4
2024-05,11001,1220.81
2024-05,11003,16.6
2024-05,11004,340.64
2024-05,11005,10.04
2024-05,11040,230.19
2024-05,11101,180.61
2024-05,11102,355.78
2024-05,11103,238.17
2024-05,11104,258.5
2024-05,11105,343.51
2024-05,11106,299.81
2024-05,11109,65.11
2024-05,11201,132.91
2024-05,11203,370.86
2024-05,11204,137.0
2024-05,11205,201.2
2024-05,11206,380.8
2024-05,11207,515.8
2024-05,11208,376.01
2024-05,11209,245.45
2024-05,11210,417.44
2024-05,11211,378.02
2024-05,11212,421.64
2024-05,11213,332.38
2024-05,11214,184.82
2024-05,11215,176.19
2024-05,11216,293.84
2024-05,11217,194.17
2024-05,11218,235.92
2024-05,11219,224.93
2024-05,11220,207.19
2024-05,11221,522.07
2024-05,11222,196.0
2024-05,11223,157.67
2024-05,11224,190.74
2024-05,11225,259.34
2024-05,11226,397.41
2024-05,11228,194.31
2024-05,11229,205.48
2024-05,11230,293.84
2024-05,11231,213.75
2024-05,11232,182.97
2024-05,11233,403.91
2024-05,11234,176.62
2024-05,11235,136.05
2024-05,11236,249.2
2024-05,11237,677.36
2024-05,11238,310.81
2024-05,11239,59.23
2024-05,11241,362.95
2024-05,11242,72.66
2024-05,11249,320.18
2024-05,11251,0.74
2024-05,11354,485.71
2024-05,11355,357.28
2024-05,11356,158.68
2024-05,11357,380.58
2024-05,11358,776.37
2024-05,11359,244.92
2024-05,11360,710.54
2024-05,11361,345.35
2024-05,11362,285.51
2024-05,11363,184.54
2024-05,11364,812.57
2024-05,11365,322.76
2024-05,11366,67.6
2024-05,11367,412.41
2024-05,11368,186.0
2024-05,11369,308.78
2024-05,11370,272.75
2024-05,11371,69.74
2024-05,11372,211.94
2024-05,11373,340.19
2024-05,11374,207.67
2024-05,11375,342.21
2024-05,11377,212.17
2024-05,11378,136.9
2024-05,11379,383.48
2024-05,11385,394.85
2024-05,11411,273.5
2024-05,11412,259.51
2024-05,11413,272.06
